Voll,Demand_segment,Cost_of_demand_curtailment_perMW,Max_demand_curtailment,Representative_Periods,Hours_per_period,Representative_Period_Index,Representative_Period_Weight,Time_index,Load_MW_z1,Load_MW_z2,Load_MW_z3,Load_MW_z4,Load_MW_z5,Load_MW_z6,,,
,,,,,,,,97,17251,24211,10372,22138,18674,13430,,,
,,,,,,,,98,16340,22930,10105,21337,18095,13025,,,
,,,,,,,,99,15800,22172,10006,20887,17801,12798,,,
,,,,,,,,100,15440,21655,10145,21008,18007,12838,,,
,,,,,,,,101,14732,20768,10724,21644,18915,13388,,,
,,,,,,,,102,13656,19658,11348,21508,20366,13846,,,
,,,,,,,,103,12769,19091,11750,21551,21841,14005,,,
,,,,,,,,104,12245,19006,12122,21969,22941,14495,,,
,,,,,,,,105,12410,18518,12633,22864,23714,14930,,,
,,,,,,,,106,13280,21163,13047,24076,24365,15566,,,
,,,,,,,,107,14543,23979,13440,25290,24726,16151,,,
,,,,,,,,108,16029,24463,13809,26583,25120,16626,,,
,,,,,,,,109,17837,28269,14153,28064,25409,17001,,,
,,,,,,,,110,20099,31350,14417,29682,25557,17384,,,
,,,,,,,,111,22351,33626,14506,30825,25698,17459,,,
,,,,,,,,112,24413,35147,14475,31489,25745,17269,,,
,,,,,,,,113,25157,35332,14274,31370,25728,16847,,,
,,,,,,,,114,24546,34447,13965,30356,25351,16387,,,
,,,,,,,,115,23704,33266,13761,30074,25009,16232,,,
,,,,,,,,116,23315,32721,13576,29388,25066,16157,,,
,,,,,,,,117,23241,32617,12989,27916,24697,15480,,,
,,,,,,,,118,21865,30684,12125,25870,23184,14377,,,
,,,,,,,,119,19748,27713,11284,23902,21229,13658,,,
,,,,,,,,120,17847,25045,10632,22590,19591,13146,,,
,,,,,,,,121,16452,23088,10215,21491,18343,12740,,,
,,,,,,,,122,15787,22155,9956,20822,17724,12431,,,
,,,,,,,,123,15196,21325,9863,20524,17461,12255,,,
,,,,,,,,124,14872,20860,9986,20663,17552,12251,,,
,,,,,,,,125,14155,19970,10471,21293,18400,12740,,,
,,,,,,,,126,12914,19034,11018,20983,19873,13100,,,
,,,,,,,,127,12126,18575,11510,20798,21378,13299,,,
,,,,,,,,128,11704,18423,11934,21266,22531,13676,,,
,,,,,,,,129,11975,18596,12293,21902,23327,14034,,,
,,,,,,,,130,12728,20493,12577,22697,23667,14646,,,
,,,,,,,,131,13483,22189,12985,24191,24046,15107,,,
,,,,,,,,132,14670,23033,13289,25847,24311,15510,,,
,,,,,,,,133,16104,25788,13546,27447,24454,15765,,,
,,,,,,,,134,17970,28291,13694,28981,24536,16159,,,
,,,,,,,,135,20133,30598,13636,30346,24462,16394,,,
,,,,,,,,136,22268,32358,13445,31261,24323,16319,,,
,,,,,,,,137,23289,32712,13316,31435,24113,15965,,,
,,,,,,,,138,22692,31846,13000,30227,23587,15599,,,
,,,,,,,,139,21779,30563,12757,29807,23004,15453,,,
,,,,,,,,140,21337,29944,12606,29089,23053,15371,,,
,,,,,,,,141,21191,29739,12158,27833,22598,14843,,,
,,,,,,,,142,20007,28077,11496,26135,21336,13996,,,
,,,,,,,,143,18417,25846,10828,24444,19801,13219,,,
,,,,,,,,144,16825,23612,10344,23382,18324,12724,,,
,,,,,,,,145,15811,22189,9942,22266,18175,12342,,,
,,,,,,,,146,15050,21120,9717,21463,17565,12054,,,
,,,,,,,,147,14366,20161,9482,20886,17190,11732,,,
,,,,,,,,148,14093,19777,9447,20678,17110,11662,,,
,,,,,,,,149,13280,18773,9530,20506,17370,11782,,,
,,,,,,,,150,11579,17077,9622,19830,17798,11697,,,
,,,,,,,,151,10103,15209,9910,19629,18549,11860,,,
,,,,,,,,152,9847,14208,10512,20234,19793,12428,,,
,,,,,,,,153,10244,13768,11064,21574,20930,12997,,,
,,,,,,,,154,10891,15418,11492,23403,21735,13627,,,
,,,,,,,,155,12377,17315,11783,25095,21963,14115,,,
,,,,,,,,156,14236,19475,12032,26551,22086,14616,,,
,,,,,,,,157,15273,21570,12188,28272,22048,14942,,,
,,,,,,,,158,16992,23766,12288,29878,21949,14944,,,
,,,,,,,,159,18613,25886,12431,31087,21954,14786,,,
,,,,,,,,160,19715,27863,12569,31858,22121,14942,,,
,,,,,,,,161,20494,28774,12445,31937,22251,14746,,,
,,,,,,,,162,20398,28625,12216,30726,22203,14668,,,
,,,,,,,,163,19829,27827,12003,30179,21970,14578,,,
,,,,,,,,164,19567,27459,11902,29233,22166,14567,,,
,,,,,,,,165,19564,27455,11467,27792,21969,14129,,,
,,,,,,,,166,18593,26092,10713,26071,20803,13474,,,
,,,,,,,,167,17184,24116,10165,24424,19470,12791,,,
,,,,,,,,168,15932,22358,9679,23096,18348,12363,,,
,,,,,,,,169,12211,17136,9794,16698,20778,12526,,,
,,,,,,,,170,11704,16425,9688,16418,20247,12654,,,
,,,,,,,,171,11378,15967,9634,16303,20068,12718,,,
,,,,,,,,172,11229,15758,9708,16360,20116,12751,,,
,,,,,,,,173,11265,15695,9911,16749,20549,12889,,,
,,,,,,,,174,11297,13235,10300,16715,21490,13056,,,
,,,,,,,,175,10790,10374,10755,15739,22772,13037,,,
,,,,,,,,176,9631,8502,11223,15051,24250,13250,,,
,,,,,,,,177,8259,8193,11550,14521,25418,13217,,,
,,,,,,,,178,7684,8417,11583,14145,25827,13370,,,
,,,,,,,,179,7870,8990,11419,13915,25581,13214,,,
,,,,,,,,180,7586,9817,11257,13941,24982,13114,,,
,,,,,,,,181,8305,11277,11105,14222,24527,13011,,,
,,,,,,,,182,10515,13473,10976,14897,24125,12980,,,
,,,,,,,,183,12751,16706,10971,16102,23873,13460,,,
,,,,,,,,184,13462,18892,11114,17782,23972,13735,,,
,,,,,,,,185,13857,19447,11530,18908,24765,14405,,,
,,,,,,,,186,15183,21308,12117,20428,26406,14943,,,
,,,,,,,,187,16360,22958,12270,20877,27220,14788,,,
,,,,,,,,188,16233,22781,12151,20533,26948,14480,,,
,,,,,,,,189,15775,22138,11765,19948,26219,13976,,,
,,,,,,,,190,15040,21107,11201,18840,24892,13349,,,
,,,,,,,,191,14042,19706,10563,17737,23159,12662,,,
,,,,,,,,192,12960,18188,10085,16965,21629,12296,,,
,,,,,,,,193,12001,16842,9881,16561,20625,12183,,,
,,,,,,,,194,11526,16176,9817,16457,20238,12282,,,
,,,,,,,,195,11319,15885,9863,16501,20148,12364,,,
,,,,,,,,196,11321,15888,10041,17043,20469,12662,,,
,,,,,,,,197,11683,16358,10494,18193,21590,13180,,,
,,,,,,,,198,12562,16637,11608,19473,24065,14021,,,
,,,,,,,,199,13276,17110,12578,18634,27284,14238,,,
,,,,,,,,200,12844,16245,12764,16835,28800,14225,,,
,,,,,,,,201,12201,15641,12643,15952,28440,14021,,,
,,,,,,,,202,12582,15803,12436,15303,27847,13806,,,
,,,,,,,,203,13477,17091,12273,14941,27395,13655,,,
,,,,,,,,204,13950,19750,12047,14858,26844,13559,,,
,,,,,,,,205,15083,21729,11912,15168,26526,13509,,,
,,,,,,,,206,15567,22233,11804,15779,26222,13513,,,
,,,,,,,,207,15898,22334,11722,16865,25925,13735,,,
,,,,,,,,208,15956,22393,11735,18388,25920,13968,,,
,,,,,,,,209,16102,22598,12030,19337,26513,14476,,,
,,,,,,,,210,17093,23988,12682,20819,28072,14971,,,
,,,,,,,,211,18221,25571,12848,21176,28839,14802,,,
,,,,,,,,212,18078,25369,12705,20933,28536,14463,,,
,,,,,,,,213,17592,24687,12317,20255,27732,13823,,,
,,,,,,,,214,16652,23369,11610,19034,26220,13044,,,
,,,,,,,,215,15170,21289,10880,17889,24182,12488,,,
,,,,,,,,216,13812,19383,10335,17017,22362,12283,,,
,,,,,,,,217,12796,17957,10091,16615,21327,12167,,,
,,,,,,,,218,12320,17290,9977,16428,20838,12259,,,
,,,,,,,,219,12203,17125,9979,16445,20765,12427,,,
,,,,,,,,220,12226,17157,10200,16815,21068,12619,,,
,,,,,,,,221,12438,17316,10718,18033,22211,13127,,,
,,,,,,,,222,13351,15899,11770,19322,24543,13876,,,
,,,,,,,,223,14550,15064,12753,18441,27943,14054,,,
,,,,,,,,224,14883,14049,12909,16933,29496,13975,,,
,,,,,,,,225,14174,12947,12718,16322,28975,13848,,,
,,,,,,,,226,13964,12326,12530,16017,28481,13676,,,
,,,,,,,,227,14404,12450,12357,15857,28000,13439,,,
,,,,,,,,228,14107,13135,12134,15644,27513,13457,,,
,,,,,,,,229,14520,14499,11992,15629,27106,13386,,,
,,,,,,,,230,14933,16871,11896,16030,26768,13335,,,
,,,,,,,,231,15284,20099,11858,17075,26444,13598,,,
,,,,,,,,232,15626,21929,11904,18766,26517,13762,,,
,,,,,,,,233,15649,21962,12227,19760,27294,14253,,,
,,,,,,,,234,16590,23281,12827,21126,28842,14738,,,
,,,,,,,,235,17947,25186,12992,21543,29779,14607,,,
,,,,,,,,236,17746,24905,12820,21392,29301,14277,,,
,,,,,,,,237,17293,24269,12441,20849,28668,13754,,,
,,,,,,,,238,16382,22989,11794,19712,27248,13084,,,
,,,,,,,,239,15094,21182,11091,18516,25162,12478,,,
,,,,,,,,240,13824,19400,10566,17831,23353,12224,,,
,,,,,,,,241,12913,18122,10312,17525,22352,12146,,,
,,,,,,,,242,12371,17361,10236,17407,21946,12210,,,
,,,,,,,,243,12110,16996,10267,17512,21870,12441,,,
,,,,,,,,244,12081,16955,10438,18059,22195,12708,,,
,,,,,,,,245,12440,17433,10984,19312,23308,13137,,,
,,,,,,,,246,13273,18071,12027,20861,25790,13823,,,
,,,,,,,,247,14467,19321,12997,20242,29134,14027,,,
,,,,,,,,248,14913,19257,13191,18846,30689,14180,,,
,,,,,,,,249,14600,18760,12911,17718,30138,14070,,,
,,,,,,,,250,14541,18664,12668,17047,29268,13965,,,
,,,,,,,,251,14787,18935,12451,16891,28346,13824,,,
,,,,,,,,252,15173,19736,12226,17485,27466,13688,,,
,,,,,,,,253,15751,20061,12038,17631,26716,13633,,,
,,,,,,,,254,16016,20203,11844,17799,26135,13555,,,
,,,,,,,,255,16186,21353,11729,18231,25573,13735,,,
,,,,,,,,256,16241,22791,11731,18552,25470,13930,,,
,,,,,,,,257,16378,22983,12030,19168,26052,14435,,,
,,,,,,,,258,17275,24244,12815,20817,27946,14878,,,
,,,,,,,,259,18563,26049,13119,21401,29425,14721,,,
,,,,,,,,260,18419,25849,13036,21206,29423,14444,,,
,,,,,,,,261,17951,25191,12691,20651,28878,13841,,,
,,,,,,,,262,16976,23823,12015,19448,27487,13016,,,
,,,,,,,,263,15494,21744,11283,18182,25373,12400,,,
,,,,,,,,264,14124,19822,10777,17524,23555,12149,,,
,,,,,,,,265,13196,18519,10535,17197,22550,11996,,,
,,,,,,,,266,12666,17775,10461,17095,22089,12090,,,
,,,,,,,,267,12412,17418,10512,17190,22004,12371,,,
,,,,,,,,268,12397,17398,10680,17640,22251,12589,,,
,,,,,,,,269,12766,17916,11154,18936,23250,13135,,,
,,,,,,,,270,13744,19123,12187,20206,25534,14007,,,
,,,,,,,,271,15048,20887,13086,19671,28686,14211,,,
,,,,,,,,272,15388,20799,13228,17594,30106,14203,,,
,,,,,,,,273,15363,20657,13037,16088,29615,13998,,,
,,,,,,,,274,15001,20764,12800,15511,29068,13883,,,
,,,,,,,,275,14350,20788,12568,15594,28591,13711,,,
,,,,,,,,276,13846,20447,12402,15415,28189,13566,,,
,,,,,,,,277,13644,20306,12192,15879,27772,13542,,,
,,,,,,,,278,14383,20594,12035,16977,27384,13392,,,
,,,,,,,,279,15299,21295,11942,16768,27004,13519,,,
,,,,,,,,280,15628,21932,11994,18195,26985,13702,,,
,,,,,,,,281,15687,22016,12209,19038,27534,14193,,,
,,,,,,,,282,16467,23109,12836,20636,28881,14832,,,
,,,,,,,,283,17811,24995,13000,21223,29436,14774,,,
,,,,,,,,284,17636,24751,12831,21064,28931,14496,,,
,,,,,,,,285,17207,24148,12402,20464,28015,13933,,,
,,,,,,,,286,16328,22914,11730,19245,26487,13158,,,
,,,,,,,,287,15034,21098,11005,18079,24438,12555,,,
,,,,,,,,288,13736,19277,10477,17286,22605,12252,,,
,,,,,,,,289,12907,18114,10183,16909,21455,12156,,,
,,,,,,,,290,12439,17456,10053,16776,20877,12198,,,
,,,,,,,,291,12217,17145,10031,16899,20668,12362,,,
,,,,,,,,292,12105,16988,10192,17426,20821,12458,,,
,,,,,,,,293,12364,17339,10631,18588,21759,12977,,,
,,,,,,,,294,13249,18077,11529,20078,23830,13756,,,
,,,,,,,,295,14476,19305,12362,19430,26776,13919,,,
,,,,,,,,296,14920,18976,12598,17502,28281,13955,,,
,,,,,,,,297,14672,18785,12499,16325,28092,13873,,,
,,,,,,,,298,14685,17633,12347,15523,27706,13748,,,
,,,,,,,,299,14730,16774,12159,15035,27222,13614,,,
,,,,,,,,300,14694,16602,11898,14791,26662,13516,,,
,,,,,,,,301,14812,17337,11652,14864,26132,13408,,,
,,,,,,,,302,15049,19004,11485,15426,25841,13286,,,
,,,,,,,,303,15169,20591,11415,16453,25791,13339,,,
,,,,,,,,304,15363,21559,11428,17826,26042,13508,,,
,,,,,,,,305,15373,21573,11639,18720,26519,13945,,,
,,,,,,,,306,16077,22562,12186,20010,27781,14458,,,
,,,,,,,,307,17228,24178,12275,20403,28150,14240,,,
,,,,,,,,308,16919,23743,12102,20194,27567,14000,,,
,,,,,,,,309,16452,23087,11783,19703,26780,13574,,,
,,,,,,,,310,15698,22031,11268,18961,25632,12936,,,
,,,,,,,,311,14602,20491,10720,18034,24080,12337,,,
,,,,,,,,312,13466,18898,10224,17321,22549,11938,,,
,,,,,,,,313,12660,17766,9967,16982,21545,11788,,,
,,,,,,,,314,12184,17099,9829,16792,21058,11876,,,
,,,,,,,,315,11836,16610,9784,16768,20882,12092,,,
,,,,,,,,316,11707,16430,9877,16985,21045,12191,,,
,,,,,,,,317,11658,16247,10104,17632,21466,12441,,,
,,,,,,,,318,10751,13999,10559,17867,22509,12744,,,
,,,,,,,,319,9370,11579,11007,17060,24093,12819,,,
,,,,,,,,320,8186,9825,11417,16116,25560,12952,,,
,,,,,,,,321,7026,9339,11766,15322,26926,12988,,,
,,,,,,,,322,6683,9310,11835,14637,27509,12929,,,
,,,,,,,,323,6844,9567,11715,14051,27553,12708,,,
,,,,,,,,324,7663,10234,11551,13848,27212,12527,,,
,,,,,,,,325,9352,11552,11356,14002,26746,12352,,,
,,,,,,,,326,11298,13683,11158,14538,26279,12091,,,
,,,,,,,,327,12783,16568,11071,15596,25873,12136,,,
,,,,,,,,328,13438,18832,11134,17011,25783,12330,,,
,,,,,,,,329,13672,19186,11470,17974,26143,12984,,,
,,,,,,,,330,14741,20686,12076,19386,27220,13527,,,
,,,,,,,,331,16055,22532,12246,19840,27894,13478,,,
,,,,,,,,332,15941,22370,12067,19637,27424,13369,,,
,,,,,,,,333,15570,21851,11770,19188,26742,13166,,,
,,,,,,,,334,14938,20965,11360,18443,25675,12597,,,
,,,,,,,,335,13989,19632,10804,17745,24216,12111,,,
,,,,,,,,336,13018,18269,10376,17199,22848,11925,,,
,,,,,,,,337,13336,18715,8857,16702,17624,10639,,,
,,,,,,,,338,12783,17940,8682,16268,17163,10391,,,
,,,,,,,,339,12528,17582,8642,15964,16965,10167,,,
,,,,,,,,340,11990,16824,8630,15836,16919,10157,,,
,,,,,,,,341,10846,15176,8693,15260,17163,10214,,,
,,,,,,,,342,9148,12921,8863,14549,17515,10291,,,
,,,,,,,,343,7270,10488,9171,14166,18376,10574,,,
,,,,,,,,344,6480,9500,9426,14204,19512,10822,,,
,,,,,,,,345,6370,9260,9801,14536,20689,11375,,,
,,,,,,,,346,6375,9390,9876,15035,21202,11562,,,
,,,,,,,,347,6648,9778,9969,15637,21345,11633,,,
,,,,,,,,348,7374,10738,9927,16407,21242,11773,,,
,,,,,,,,349,8356,12102,9833,17335,20964,11816,,,
,,,,,,,,350,9840,14191,9798,18608,20723,11935,,,
,,,,,,,,351,11304,16322,9811,20038,20492,11928,,,
,,,,,,,,352,12903,18720,9858,21543,20501,11924,,,
,,,,,,,,353,14147,20228,9900,22530,20658,11958,,,
,,,,,,,,354,14816,20791,9967,22396,20726,11969,,,
,,,,,,,,355,14971,21010,10008,21977,20836,11946,,,
,,,,,,,,356,15149,21260,10096,21818,20962,12155,,,
,,,,,,,,357,15907,22323,10117,21087,21149,12029,,,
,,,,,,,,358,15820,22201,9750,19898,20685,11502,,,
,,,,,,,,359,14876,20878,9196,18557,19405,10886,,,
,,,,,,,,360,13963,19596,8783,17547,18139,10588,,,
,,,,,,,,361,13288,18649,8561,16812,17466,10373,,,
,,,,,,,,362,12785,17942,8400,16316,17042,10270,,,
,,,,,,,,363,12407,17412,8358,16020,16902,10197,,,
,,,,,,,,364,11915,16720,8467,15952,16909,10213,,,
,,,,,,,,365,10851,15313,8554,15476,17241,10246,,,
,,,,,,,,366,9203,13533,8742,14756,17700,10413,,,
,,,,,,,,367,7586,11558,9083,14319,18671,10606,,,
,,,,,,,,368,6847,10555,9553,14580,19801,10859,,,
,,,,,,,,369,6660,10618,9947,15268,21084,11332,,,
,,,,,,,,370,6907,10704,10207,16188,22034,11511,,,
,,,,,,,,371,7601,11857,10313,17249,22409,11650,,,
,,,,,,,,372,8405,12496,10329,18372,22331,11691,,,
,,,,,,,,373,9766,14671,10365,19684,22099,11790,,,
,,,,,,,,374,11109,16495,10372,21275,21850,11967,,,
,,,,,,,,375,12799,19099,10523,23012,21727,12284,,,
,,,,,,,,376,14548,21168,10613,24557,21858,12473,,,
,,,,,,,,377,15873,22728,10778,25539,22084,12788,,,
,,,,,,,,378,16556,23234,10778,25362,22272,12781,,,
,,,,,,,,379,16533,23203,10802,24765,22314,12708,,,
,,,,,,,,380,16507,23165,10869,24188,22401,12847,,,
,,,,,,,,381,17188,24121,10745,22907,22508,12640,,,
,,,,,,,,382,16946,23782,10233,21119,21791,11898,,,
,,,,,,,,383,15669,21990,9519,19397,20022,11226,,,
,,,,,,,,384,14399,20208,8998,18150,18617,10925,,,
,,,,,,,,385,13601,19087,8699,17200,17807,10662,,,
,,,,,,,,386,13107,18393,8576,16670,17450,10563,,,
,,,,,,,,387,12791,17951,8606,16428,17416,10501,,,
,,,,,,,,388,12363,17512,8827,16616,17911,10638,,,
,,,,,,,,389,11627,16584,9348,16633,19098,11101,,,
,,,,,,,,390,10761,15477,10077,16648,21124,11686,,,
,,,,,,,,391,10061,14441,10720,16719,23255,11923,,,
,,,,,,,,392,9772,14252,11088,17035,24166,12112,,,
,,,,,,,,393,9585,14274,11287,17675,24256,12479,,,
,,,,,,,,394,9841,14995,11500,18817,24246,12731,,,
,,,,,,,,395,10337,16355,11646,20064,24207,12902,,,
,,,,,,,,396,11201,18388,11719,21464,24109,12995,,,
,,,,,,,,397,12241,19901,11926,23024,24046,13187,,,
,,,,,,,,398,13855,21674,12035,24622,23880,13480,,,
,,,,,,,,399,15743,23718,12187,26297,23772,13766,,,
,,,,,,,,400,17653,25676,12190,27741,23724,13843,,,
,,,,,,,,401,18763,26748,12155,28477,23749,13894,,,
,,,,,,,,402,19158,26885,12087,28157,23658,13734,,,
,,,,,,,,403,18846,26448,11944,27261,23539,13598,,,
,,,,,,,,404,18454,25898,11860,26429,23651,13706,,,
,,,,,,,,405,18866,26477,11695,24886,23748,13551,,,
,,,,,,,,406,18414,25842,10978,22847,22857,12668,,,
,,,,,,,,407,16809,23589,10183,20822,21008,11942,,,
,,,,,,,,408,15412,21628,9608,19376,19436,11474,,,
,,,,,,,,409,14373,20171,9255,18317,18468,11182,,,
,,,,,,,,410,13675,19190,9102,17610,18116,10966,,,
,,,,,,,,411,13257,18605,9065,17251,17958,10872,,,
,,,,,,,,412,12759,17919,9174,17340,18196,10943,,,
,,,,,,,,413,11923,16791,9563,17351,19127,11325,,,
,,,,,,,,414,10809,15366,10265,17388,20919,11853,,,
,,,,,,,,415,9947,14381,10894,17483,22912,12217,,,
,,,,,,,,416,10014,14636,11264,17703,23863,12514,,,
,,,,,,,,417,9725,14432,11470,18335,24002,12941,,,
,,,,,,,,418,9950,14749,11725,19442,24033,13194,,,
,,,,,,,,419,10559,15638,11880,20765,24003,13412,,,
,,,,,,,,420,11499,16889,12102,22397,24023,13589,,,
,,,,,,,,421,12698,18613,12213,23809,24046,13758,,,
,,,,,,,,422,14404,21025,12418,25554,23996,13927,,,
,,,,,,,,423,16309,23752,12576,27264,23993,14116,,,
,,,,,,,,424,18267,26409,12668,28704,24000,14104,,,
,,,,,,,,425,19567,27933,12611,29470,24102,14063,,,
,,,,,,,,426,19886,27908,12543,28982,24033,13795,,,
,,,,,,,,427,19469,27322,12385,28033,23870,13556,,,
,,,,,,,,428,19020,26692,12297,27169,23909,13577,,,
,,,,,,,,429,19351,27156,12074,25600,23934,13299,,,
,,,,,,,,430,18902,26527,11410,23455,23027,12460,,,
,,,,,,,,431,17256,24217,10565,21412,21074,11710,,,
,,,,,,,,432,15692,22022,9957,19814,19516,11310,,,
,,,,,,,,433,14657,20569,9565,18636,18532,11082,,,
,,,,,,,,434,13919,19533,9347,17861,18023,10904,,,
,,,,,,,,435,13489,18929,9289,17488,17819,10833,,,
,,,,,,,,436,13022,18406,9417,17569,18023,10977,,,
,,,,,,,,437,12270,17848,9826,17630,18935,11446,,,
,,,,,,,,438,11693,17784,10477,17489,20594,11957,,,
,,,,,,,,439,10920,18057,11151,17649,22560,12353,,,
,,,,,,,,440,11232,18768,11638,18266,23682,12422,,,
